index,airport,Carrier,Duration,price,layover,minutes,legs,plane1,plane2,aircraft_ID_1,aircraft_ID_2,Carbon Leg 1,Carbon Leg 2,Total Carbon,carbon utility,no-carbon utility,carbon prob,no-carbon prob
115,SFO,JetBlue Basic Economy,9h 33m,$854,FLL,573,2,Airbus A320,Embraer RJ-190,41,111,1598.95,731.02,2329.9700000000003,-14.1284012332064,-8.910106520000001,8.89458909643773e-05,0.0003099896769757653
116,SFO,United Basic Economy   Operated by Republic Airlines DBA United Express,9h 39m,$635,EWR,579,2,Boeing 777,Embraer RJ-175,83,110,2122.86,154.19,2277.05,-11.216853084896,-6.625196300000001,0.0016352915189066755,0.003045587853496115
117,SFO,JetBlue Basic Economy,9h 45m,$854,FLL,585,2,Airbus A320,Embraer RJ-190,41,111,1598.95,731.02,2329.9700000000003,-14.1284012332064,-8.910106520000001,8.89458909643773e-05,0.0003099896769757653
118,SFO,United Basic Economy,10h 4m,$635,ORD,604,2,Boeing 777,Airbus A320,83,41,1532.31,398.36,1930.67,-10.770295444390399,-6.625196300000001,0.002555834354769174,0.003045587853496115
119,SFO,United Basic Economy   Operated by Commutair DBA United Express,10h 4m,$693,EWR,604,2,Boeing 757,Embraer ERJ-135/145,72,116,1841.69,160.94,2002.63,-11.616093400505601,-7.23033234,0.0010970017448661445,0.0016628914057437577
120,SFO,American Basic Economy,10h 10m,$581,CLT,610,2,Airbus A321,Airbus A320,42,41,1422.93,224.11,1647.04,-9.703542587164801,-6.06179378,0.0074270711251944455,0.005349999448717332
121,SFO,American Basic Economy   Operated by Compass Airlines as American Eagle,10h 20m,$583,LAX,620,2,Embraer RJ-175,Airbus A321neo,110,227,310.36,1031.12,1341.48,-9.335577046217601,-6.082660540000001,0.010730574816314824,0.005239518987623809
122,SFO,United Basic Economy,10h 22m,$774,ORD,622,2,Boeing 737,Airbus A319,61,40,1262.74,454.37,1717.1100000000001,-12.2996372804832,-8.07543612,0.0005537936646414375,0.0007142331122838561
123,SFO,United Basic Economy   Operated by Mesa Airlines DBA United Express,10h 23m,$594,IAH,623,2,Boeing 777,Embraer RJ-175,83,110,1361.63,1118.27,2479.9,-10.946058356287999,-6.19742772,0.002143876879791621,0.004671417308705063
124,SFO,United Basic Economy,10h 33m,$594,IAH,633,2,Boeing 737,Boeing 737,61,61,1116.83,824.72,1941.55,-10.252010473136,-6.19742772,0.004291617490283509,0.004671417308705063
125,SFO,United Basic Economy   Operated by Mesa Airlines DBA United Express,10h 38m,$594,IAH,638,2,Boeing 737,Embraer RJ-175,61,110,1116.83,1118.27,2235.1,-10.630458984512,-6.19742772,0.0029394285386992944,0.004671417308705063
126,SFO,United Basic Economy   Operated by Republic Airlines DBA United Express,10h 39m,$594,EWR,639,2,Boeing 787-10,Embraer RJ-175,219,110,1668.02,154.19,1822.21,-10.0981557793952,-6.19742772,0.005005405322387105,0.004671417308705063
127,SFO,Alaska Basic Economy,10h 40m,$741,LAX,640,2,Airbus A320,Airbus A320,41,41,228.59,1426.84,1655.4299999999998,-11.7916726852416,-7.731134580000001,0.0009203525159082115,0.0010077858108806274
